Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published
If Only I Had Told Her (If He Had Been with Me #2),Laura Nowlin,29,https://www.goodreads.com/book/show/64645812-if-only-i-had-told-her,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670530488l/64645812._SX50_.jpg,3.90,"100,764 ",  2024
"The Brightest Light of Sunshine (The Brightest Light, #1)",Lisina Coney,29,https://www.goodreads.com/book/show/63831009-the-brightest-light-of-sunshine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1669251849l/63831009._SY75_.jpg,3.86,"39,304 ",  2023
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,29,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664729357l/62848145._SY75_.jpg,4.24,"805,789 ",  2023
"Breakaway (Beyond the Play, #2)",Grace Reilly,29,https://www.goodreads.com/book/show/81341438-breakaway,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674227956l/81341438._SY75_.jpg,3.81,"51,973 ",  2022
"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,29,https://www.goodreads.com/book/show/60766189-a-day-of-fallen-night,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675653942l/60766189._SY75_.jpg,4.36,"37,795 ",  2023
"God of Wrath (Legacy of Gods, #3)",Rina Kent,29,https://www.goodreads.com/book/show/63337195-god-of-wrath,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668639872l/63337195._SX50_.jpg,4.19,"79,755 ",  2022
"Play With Me (Playing for Keeps, #2)",Becka Mack,29,https://www.goodreads.com/book/show/199913902-play-with-me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698776114l/199913902._SY75_.jpg,4.23,"81,106 ",  2022
Never Let Me Go (Paperback),Kazuo Ishiguro,29,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353048590l/6334._SY75_.jpg,3.85,"736,120 ",  2005
"Little Fire (Warriors of the Five Realms, #1)",Hollee Mands,29,https://www.goodreads.com/book/show/57569448-little-fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617043125l/57569448._SY75_.jpg,3.96,"8,052 ",  2021
"The Casanova (Miles High Club, #3)",T.L. Swan,29,https://www.goodreads.com/book/show/57200226-the-casanova,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619640232l/57200226._SY75_.jpg,4.32,"93,826 ",  2021
"Only When It's Us (Bergman Brothers, #1)",Chloe Liese,29,https://www.goodreads.com/book/show/177704614-only-when-it-s-us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691196985l/177704614._SY75_.jpg,3.93,"50,892 ",  2020
"Mafia Mistress (The Kings of Italy, #1)",Mila Finelli,29,https://www.goodreads.com/book/show/58900284-mafia-mistress,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630438649l/58900284._SY75_.jpg,3.87,"18,031 ",  2021
Almond (Hardcover),Sohn Won-Pyung,29,https://www.goodreads.com/book/show/52219386-almond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573764213l/52219386._SX50_SY75_.jpg,4.16,"130,949 ",  2017
"The Phoenix King (The Ravence Trilogy, #1)",Aparna Verma,29,https://www.goodreads.com/book/show/63325346-the-phoenix-king,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1669882165l/63325346._SY75_.jpg,3.69,"3,750 ",  2023
"Voyeur (Voyeur, #1)",Fiona Cole,29,https://www.goodreads.com/book/show/38896122-voyeur,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523017130l/38896122._SX50_.jpg,3.65,"29,867 ",  2018
Most of All You (ebook),Mia Sheridan,29,https://www.goodreads.com/book/show/32854499-most-of-all-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488134394l/32854499._SY75_.jpg,3.96,"46,303 ",  2017
"Full Tilt (Full Tilt, #1)",Emma   Scott,29,https://www.goodreads.com/book/show/60154966-full-tilt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1642532603l/60154966._SY75_.jpg,4.37,"33,424 ",  2016
